name,artist,meter,chorus_cp,verse_cp,intro_cp,outro_cp,bridge_cp,release year,energy,valence,tempo,danceability
He's A Rebel,The Crystals,4/4,"['Gb:maj', 'Eb:min', 'Gb:maj', 'Db:7', 'Gb:maj', 'Eb:min', 'Gb:maj', 'Db:7']","['F:maj', 'F:maj', 'F:maj', 'F:maj']","['F:maj', 'F:maj', 'F:maj', 'F:maj']","['Gb:maj', 'Eb:min', 'Gb:maj', 'Eb:min', 'Gb:maj', 'Eb:min', 'Gb:maj', 'Eb:min']","['Gb:maj', 'Eb:min', 'Gb:maj', 'Eb:min', 'Eb:min', 'B:maj', 'Ab:maj', 'Db:7']",2011,0.757,0.866,117.367,0.712
"Abraham, Martin And John",Dion,4/4,"['E:maj', 'E:maj', 'E:maj', 'E:maj']","['E:maj', 'G#:min7', 'F#:min7', 'A:maj', 'E:maj', 'E:maj', 'G#:min7', 'F#:min7', 'A:maj', 'E:maj', 'E:maj', 'G#:min7', 'F#:min7', 'A:maj', 'E:maj', 'E:maj', 'G#:min7', 'F#:min7', 'A:maj', 'E:maj']","['E:maj', 'G#:min', 'F#:min7', 'A:maj', 'E:maj', 'E:maj']","['E:maj', 'E:maj', 'E:maj', 'E:maj']","['A:maj', 'G#:min7', 'F#:sus4', 'A:maj', 'G#:min7']",1968,0.374,0.387,146.945,0.336
Wild Horses,Rolling Stones,4/4,"['A:min', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'B:min', 'A:min', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'B:min', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'A:min', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'B:min', 'B:min', 'G:maj', 'B:min', 'G:maj', 'A:min', 'C:maj', 'C:maj', 'C:maj', 'D:maj', 'G:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'B:min']","['B:min', 'G:maj', 'B:min', 'G:maj', 'B:min', 'G:maj', 'B:min', 'G:maj', 'B:min', 'G:maj', 'B:min', 'G:maj']","['G:maj', 'A:min7(11)', 'G:maj', 'A:min7(11)', 'G:maj']",[],[],1971,0.389,0.158,139.506,0.432
Maybe I'm Amazed,Paul McCartney,4/4,"['D:maj', 'D:maj9', 'D:9', 'D:9', 'D:7', 'D:7/3', 'G:maj', 'D:maj(b9)', 'Bb:maj', 'F:maj/3', 'C:maj', 'G:maj', 'Bb:maj', 'F:maj/3', 'C:maj', 'D:maj', 'D:maj9', 'D:9', 'D:9', 'D:7', 'D:7/3', 'G:maj', 'D:maj(b9)', 'D:maj', 'D:maj9', 'D:7', 'G:maj', 'D:maj(b9)', 'Bb:maj', 'F:maj/3', 'C:maj', 'G:maj', 'Bb:maj', 'F:maj/3', 'C:maj']","['Bb:maj', 'F:maj/3', 'C:maj', 'G:maj/11', 'Bb:maj', 'F:maj/3', 'C:maj', 'Bb:maj', 'F:maj/3', 'C:maj', 'G:maj', 'Bb:maj', 'F:maj/3', 'C:maj']","['N', 'A:maj', 'A:maj', 'A:maj', 'D:maj/3', 'F:maj6', 'E:min7', 'A:maj', 'A:maj', 'A:maj']","['D:maj', 'D:maj9', 'D:7', 'G:maj', 'D:maj(b9)']",[],1970,0.494,0.373,79.255,0.471
Yvonne Elliman,If I Can't Have You,4/4,"['F:maj', 'D:min', 'F:maj', 'D:min', 'G:sus4', 'G:sus4', 'G:sus4', 'A:min', 'G:maj', 'E:min', 'A:min', 'F:maj', 'D:min', 'F:maj', 'D:maj', 'F:maj', 'D:min', 'G:sus4', 'G:sus4', 'G:sus4', 'A:min', 'G:maj', 'E:min', 'A:min']","['C:maj', 'F:min/5', 'C:maj', 'G:maj/11', 'F:maj/5', 'C:maj', 'F:min/5', 'C:maj', 'G:maj/11', 'F:maj/5', 'F:min/5', 'C:maj', 'C:maj', 'C:maj']","['G:min', 'G:min', 'A:min', '(2/4)', 'D:min']","['A:min', 'G:maj', 'E:min', 'A:min']","['(3/4)', 'D:min', 'D:min', 'A:min', '(3/4)', 'G:maj', 'A:min', 'A:min', 'Bb:maj', 'F:maj', 'F:maj', 'F:maj']",,,,,
Jessie's Girl,Rick Springfield,4/4,"['D:maj/5', 'D:maj', 'B:min', 'D:maj/5', 'D:maj', 'B:min', 'D:5', 'A:5', 'B:5', 'B:5', 'G:5', 'A:5', 'D:5', 'D:5', 'D:maj/5', 'D:maj', 'B:min']","['D:5', 'A:5', 'B:5', 'B:5', 'G:5', 'A:5', 'D:5', 'D:5', 'D:5', 'A:5', 'B:5', 'B:5', 'G:5', 'A:5', 'D:5', 'D:5']","['D:5', 'A:5', 'B:5', 'B:5', 'G:5', 'A:5', 'D:5', 'D:5']",[],"['G:5', 'B:maj/5', 'B:maj', 'B:maj', 'B:maj', 'G#:min', 'F#:maj/9', 'G#:min', 'F#:maj/9']",1981,0.834,0.816,131.7,0.727
Looking For A Love,The J. Geils Band,4/4,"['C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj']","['C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj']","['N', 'N']","['C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj']",[],1971,0.713,0.788,149.124,0.422
Too Many Rivers,Brenda Lee,4/4,"['Bb:maj', 'G:7', 'C:7', 'C:7', 'Bb:maj', 'G:7', 'C:7', 'C:7']","['Bb:maj', 'G:7', 'C:7', 'C:7', 'Bb:maj', 'G:7', 'C:7', 'C:9']","['C:min9', 'F:13', 'Bb:maj', 'Eb:maj', 'Bb:maj/3', 'Bb:maj/3', 'F:7/5', 'F:7']",[],[],2006,0.293,0.555,97.917,0.621
Never Knew Love Like This Before,Stephanie Mills,4/4,"['E:maj7', 'D#:min7', 'G#:min7', 'C#:min7', 'D#:min7', 'E:maj7', 'D#:min7', 'G#:min7', 'C#:min7', 'D#:min7', 'E:maj7', 'D#:min7', 'G#:min7', 'C#:min7', 'D#:min7']","['B:maj', 'E:sus4(b7,9)', 'E:maj', 'F#:maj/3', 'D#:min7', 'B:maj', 'E:sus4(b7,9)', 'E:maj', 'F#:maj/3', 'D#:min7', 'B:maj', 'E:sus4(b7,9)', 'E:maj', 'F#:maj/3', 'D#:min7']","['B:maj', 'E:sus4(b7,9)', 'E:maj', 'F#:maj(9)/3', 'D#:min7']","['E:maj7', 'D#:min7', 'G#:min7', 'C#:min7', 'D#:min7', 'E:maj7', 'D#:min7', 'G#:min7', 'C#:min7', 'D#:min7']",[],2023,0.703,0.753,113.168,0.695
Sweet Love,Anita Baker,4/4,"['Bb:maj7', 'Eb:min9', 'Gb:maj7', 'Ab:11', 'F:7', 'Bb:maj7', 'Eb:min9', 'Gb:maj7', 'Ab:11', 'F:7', 'Bb:maj7', 'Eb:min9', 'Gb:maj7', 'Ab:11', 'F:7', 'Bb:maj7', 'Eb:min9', 'Gb:maj7', 'Ab:11', 'F:7']","['Bb:maj7', 'Eb:min9', 'Gb:maj7', 'F:min7', 'F:min7', 'Ab:11', 'F:7', 'Bb:maj7', 'Eb:min9', 'Gb:maj7', 'F:min7', 'F:min7', 'Ab:11', 'F:7', 'Bb:maj7', 'Eb:min9', 'Gb:maj7', 'F:min7', 'F:min7', 'Ab:11', 'F:7']","['Bb:maj7', 'Gb:maj7', 'Eb:min9', 'Ab:11', 'F:7']","['Bb:maj7', 'Eb:min9', 'Gb:maj7', 'Ab:11', 'F:7']","['Eb:min7', 'Bb:sus4(b7)', 'Bb:7', 'Eb:min7', 'Bb:sus4(b7)', 'Bb:7']",2022,0.669,0.689,87.541,0.505
Sail On Sailor,The Beach Boys,4/4,"['Eb:maj9', 'F:maj', 'G:maj', 'Eb:maj9', 'F:maj', 'G:maj', 'Eb:maj9', 'F:maj', 'G:maj', 'Eb:maj9', 'F:maj', 'G:maj', 'Eb:maj9', 'F:maj', 'G:maj']","['G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj', 'G:maj']","['G:maj', 'G:maj']","['Eb:maj9', 'F:maj', 'G:maj', 'Eb:maj9', 'F:maj', 'G:maj']","['A:min7', 'E:min7', 'A:min7', 'E:min7', 'A:min7', 'E:min7', 'A:min7', 'E:min7', '(2/4)', 'E:min7', 'A:min7', 'E:min7', 'A:min7', 'E:min7', 'A:min7', 'E:min7', 'A:min7', 'E:min7', '(2/4)', 'E:min7']",1973,0.631,0.679,109.983,0.627
Tell It Like It Is,The Neville Brothers,12/8,"['F#:min7', 'B:7', 'F#:min7', 'B:7', 'E:maj6', 'B:13', 'E:maj6', 'C#:7(b9)/3', 'F#:min7', 'B:7', 'F#:min7', 'B:7', 'E:maj6', 'B:13', 'E:maj6', 'C#:7(b9)/3', 'F#:min7', 'B:7', 'F#:min7', 'B:7', 'E:maj6', 'B:13', 'E:maj6', 'C#:7(b9)/3']","['G#:min', 'C#:min', 'G#:min', 'C#:min', 'G#:min', 'C#:min', 'G#:min', 'C#:min']","['B:aug', '&pause']","['F#:min7', 'B:7', 'F#:min7', 'B:7', 'E:maj6', 'B:13', 'E:maj6', 'C#:7(b9)/3']",[],1998,0.429,0.513,88.727,0.513
Not Fade Away,Rolling Stones,4/4,"['E:1', 'E:1', 'D:1', 'E:1', 'E:1', 'E:1', 'E:1', 'D:1', 'E:1', 'E:1']","['E:maj', 'E:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'E:maj', 'E:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'E:maj', 'E:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj']","['E:1', 'E:1', 'E:1', 'E:1']","['E:maj', 'A:maj', 'E:maj', 'E:maj', 'A:maj', 'E:maj']","['A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj', 'A:maj', 'A:maj', 'D:maj/5', 'A:maj', 'A:maj']",2023,0.886,0.872,113.516,0.761
Crazy On You,Heart,4/4,"['D:min', 'E:min', 'C:maj', 'F:maj', 'D:min', 'E:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'D:min', 'E:min', 'C:maj', 'F:maj', 'D:min', 'E:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'F#:min7', 'D:maj', 'C#:min', 'D:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj']","['A:min', 'C:maj', 'D:min', 'E:maj', 'A:min', 'C:maj', 'D:min', 'E:maj', 'A:min', 'C:maj', 'D:min', 'E:maj']","['*', 'A:min', 'F:maj', 'A:min', 'F:maj', 'F:maj', 'F:maj', 'G:maj']",[],"['F#:min7', 'D:maj', 'C#:min', 'D:maj']",1975,0.459,0.383,129.878,0.427
Trying To Live My Life Without You,Bob Seger & The Silver Bullet Band,4/4,"['D:maj', 'D:maj', 'G:maj', 'G:maj', 'D:maj', 'D:maj', 'G:maj', 'G:maj', 'D:maj', 'D:maj', 'G:maj', 'G:maj', 'D:maj', 'D:maj', 'G:maj', 'G:maj']","['D:7', 'D:7', 'G:maj', 'G:maj', 'D:maj', 'D:maj', 'G:maj', 'G:maj']","['D:7', 'D:7', 'G:maj', 'G:maj']","['B:min', 'B:min', 'A:maj', 'G:maj', 'G:maj', 'B:min', 'B:min', 'G:maj', 'A:maj', 'A:maj']",[],,,,,
Ain't Too Proud To Beg,The Temptations,4/4,"['C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj']","['C:maj', 'N', 'C:maj', 'N', 'C:maj', 'N', 'C:maj', 'N', 'C:maj', 'N', 'C:maj', 'N']","['N', 'N', 'F:maj', 'C:maj', 'C:maj', 'F:maj']","['C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj', 'C:maj', 'F:maj']",[],,,,,
Lonely Weekends,Charlie Rich,4/4,"['F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj']","['F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj']","['F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj']","['F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj', 'F:maj', 'Bb:maj']","['Bb:maj', 'Bb:maj', 'Eb:maj', 'Bb:maj', 'Bb:maj', 'Eb:maj', 'Bb:maj', 'Bb:maj', 'Eb:maj', 'Bb:maj', 'Bb:maj', 'Eb:maj']",1960,0.956,0.761,91.345,0.577
When Will I Be Loved,Linda Ronstadt,4/4,"['E:maj', 'E:maj', 'E:maj', 'E:maj', 'E:maj', 'A:maj', 'B:maj', 'E:maj', 'A:maj', 'B:maj', 'E:maj', 'A:maj', 'B:maj', 'E:maj', 'A:maj', 'B:maj']","['A:maj(9)', 'B:maj', 'A:maj(9)', 'E:maj', 'A:maj(9)', 'B:maj', 'A:maj(9)', 'E:maj']",[],[],[],1974,0.573,0.621,132.607,0.513
On Broadway,The Drifters,4/4,[],"['F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)', 'G:maj', 'G:sus4(b7,9)', 'G:maj', 'G:sus4(b7,9)', 'G:maj', 'G:sus4(b7,9)', 'G:maj', 'G:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)']","['F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)', 'F#:maj', 'F#:sus4(b7,9)']","['Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)', 'Ab:maj', 'Ab:sus4(b7,9)']",[],1964,0.356,0.862,108.58,0.738
People Get Ready,Jeff Beck,4/4,"['D:maj', 'B:min', 'G:maj', 'D:maj', 'D:maj', 'B:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj', 'Eb:maj', 'C:min', 'Ab:maj', 'Eb:maj', 'Eb:maj', 'C:min', 'Ab:maj', 'Eb:maj', 'Eb:maj', 'C:min', 'Ab:maj', 'Eb:maj']","['D:maj', 'B:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj', 'D:maj', 'B:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj', 'D:maj', 'B:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj', 'D:maj', 'B:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj']","['D:maj', 'D:maj', 'D:maj/3', 'F#:min', 'G:maj', 'G:maj', 'D:sus2', 'D:maj']",[],[],1985,0.352,0.358,143.685,0.502
Another Rainy Day in New York City,Chicago,4/4,"['F:maj7', 'F:maj7', 'C:maj7', 'C:maj7', 'F:maj7', 'F:maj7', 'C:maj7', 'C:maj7']","['A:maj', 'A:maj', 'E:sus4(9)', 'E:sus4(9)', 'A:maj', 'A:maj', 'E:sus4(9)', 'E:sus4(9)']",['N'],"['A:maj', 'A:maj', 'E:sus4', 'E:sus4', 'A:maj', 'A:maj', 'E:maj', 'E:maj']","['A:maj', 'A:maj', 'E:sus4', 'E:sus4']",1976,0.893,0.924,154.783,0.621
We're All Alone,Rita Coolidge,4/4,"['G:maj', 'A:min', 'B:min', 'B:7', 'E:min', 'E:min', 'D:min7', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:sus4(b7,9)', 'G:maj', 'A:min', 'B:min', 'B:7', 'E:min', 'E:min', 'D:min7', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7', 'G:maj', 'A:min', 'B:min', 'B:7', 'E:min', 'E:min', 'D:min7', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7', 'G:maj', 'A:min', 'B:min', 'B:7', 'E:min', 'E:min', 'D:min7', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7']","['G:maj', 'G:maj', 'F#:min7', 'B:7', 'E:min', 'E:min', 'G:7/5', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7', 'G:maj', 'G:maj', 'F#:min7', 'B:7', 'E:min', 'E:min', 'G:7/5', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7', 'G:maj', 'G:maj', 'F#:min7', 'B:7', 'E:min', 'E:min', 'G:7/5', 'G:7', 'C:maj', 'G:maj6/3', 'Bb:dim', 'A:min(9)', '(2/4)', 'D:7', 'D:7/b7']","['G:maj', 'A:min', 'B:min', 'A:min7']","['B:min7', 'E:min', 'A:min7', 'D:sus4(b7,9)']","['G:maj', 'A:min', 'B:min', 'A:min7']",,,,,
Tainted Love,Soft Cell,4/4,"['G:1', 'Bb:1', 'Eb:1', 'C:min', 'C:min', 'G:1', 'Bb:1', 'Eb:1', 'C:min', 'C:min']","['G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'G:min/b3', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'G:min/b3', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'G:min/b3']","['G:1', 'G:1']","['G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1', 'G:1', 'Bb:1', 'Eb:1', 'C:1']",[],1981,0.501,0.623,144.438,0.5
Carry Me,"David Crosby,Graham Nash",4/4,"['E:maj', 'E:maj6', 'B:min7/11', 'E:maj', 'E:maj', 'E:maj6', 'B:min7/11', 'E:maj', 'E:maj', 'E:maj6', 'B:min7/11', 'E:maj']","['E:maj', 'B:maj', 'A:maj', 'C#:min7', 'C#:sus2(b7)', 'E:maj', 'B:maj', 'A:maj', 'C#:min7', 'C#:sus2(b7)', 'E:maj', 'B:maj', 'A:maj', 'C#:min7', 'C#:sus2(b7)']","['E:maj', 'E:maj6', 'B:min7/11', 'E:maj']",[],[],,,,,
Don't stand so close to me,Police,4/4,"['D:maj', 'A:maj', 'D:maj', 'A:maj', 'B:min7', 'B:min7/b7', 'D:maj/5', 'A:maj', 'D:maj', 'A:maj', 'D:maj', 'A:maj', 'B:min7', 'B:min7/b7', 'D:maj/5', 'A:maj', 'D:maj', 'A:maj', 'D:maj', 'A:maj', 'B:min7', 'B:min7/b7', 'D:maj/5', 'A:maj', 'D:maj', 'A:maj', 'D:maj', 'A:maj', 'B:min7', 'B:min7/b7', 'D:maj/5', 'A:maj']","['Eb:maj', 'Eb:maj', 'G:min', 'G:min', 'Eb:maj', 'Eb:maj', 'G:min', 'G:min', 'Eb:maj', 'Eb:maj', 'G:min', 'G:min']","['Eb:maj', 'Eb:maj']","['D:maj', 'A:maj', 'D:maj', 'A:maj', 'B:min7', 'B:min7/b7', 'D:maj/5', 'A:maj']",[],,,,,
Stoned Love,The Supremes,4/4,"['D:maj', 'B:min', 'E:min', 'D:maj', 'D:maj', 'B:min', 'E:min', 'D:maj', 'D:maj', 'B:min', 'E:min', 'D:maj', 'D:maj', 'B:min', 'E:min', 'D:maj']","['D:maj', 'B:min', 'E:min', 'D:maj', 'D:maj', 'B:min', 'E:min', 'D:maj']","['N', 'N', 'N']","['D:maj', 'B:min', 'E:min', 'D:maj']","['F#:min', 'D:maj7', 'E:min', 'E:min']",2005,0.806,0.774,119.835,0.617
Lovely Day,Bill Withers,4/4,"['D:sus4(b7,9)', 'E:sus4(b7,9)', 'A:min7', 'B:min7', 'E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'A:maj9', 'C:maj7', 'B:sus4(b7)', 'D:sus4(b7,9)', 'E:sus4(b7,9)', 'A:min7', 'B:min7', 'E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'C:maj7', 'C:maj7', 'B:sus4(b7)', 'D:sus4(b7,9)', 'E:sus4(b7,9)', 'A:min7', 'B:min7', 'E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'C:maj7', 'C:maj7', 'B:sus4(b7)']","['E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'A:maj9', 'C:maj7', 'B:sus4(b7)', 'E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'A:maj9', 'C:maj7', 'B:sus4(b7)', 'E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'C:maj7', 'C:maj7', 'B:sus4(b7)']","['E:1', 'C#:1', 'A:1', 'A:1', 'A:1', 'C:1', 'B:1']","['E:maj', 'C#:min7', 'A:maj9', 'A:maj9', 'C:maj7', 'C:maj7', 'B:sus4(b7)']",[],1977,0.651,0.706,97.923,0.692
Are You Sure Hank Done It This Way,Waylon Jennings,4/4,"['B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj']","['B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj']","['B:maj', 'E:maj', 'B:maj', 'E:maj']","['B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj', 'B:maj', 'E:maj']",[],1975,0.646,0.768,113.833,0.811
It's Gonna Work Out Fine,Ike & Tina Turner,4/4,"['F:maj', 'F:maj', 'C:maj', 'C:maj', 'F:maj', 'F:maj', 'C:maj', 'C:maj']","['C:maj', 'F:maj', 'C:maj', 'Eb:maj', 'F:maj', 'C:maj', 'F:maj', 'G:maj', 'C:maj', 'F:maj', 'C:maj', 'Eb:maj', 'F:maj', 'C:maj', 'F:maj', 'G:maj', 'C:maj', 'F:maj', 'C:maj', 'Eb:maj', 'F:maj', 'C:maj', 'F:maj', 'G:maj']","['C:maj', 'Eb:maj', 'F:maj', 'C:maj', 'F:maj', 'G:maj', 'C:maj', 'Eb:maj', 'F:maj', 'C:maj', 'F:maj', 'G:maj']","['F:maj', 'F:maj', 'C:maj', 'C:maj']",[],1963,0.69,0.936,108.037,0.69
I Really Don't Want To Know,Elvis Presley,3/4,[],"['C:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'F:maj', 'C:maj', 'C:maj', 'C:maj', 'F:maj', 'C:maj', 'C:maj']","['C:maj', 'G:7', 'C:maj', 'C:maj', 'F:maj7', 'C:maj']",[],"['C:7', 'C:7', 'F:maj', 'F:maj']",1971,0.337,0.328,78.405,0.297
Brandy,Looking Glass,4/4,"['C#:min', 'A:maj', 'C#:min', 'A:maj', 'C#:min', 'A:maj', 'C#:min', 'A:maj', 'C#:min', 'A:maj', 'C#:min', 'A:maj']","['E:maj', 'E:maj/3', 'A:maj', 'C#:min', 'F#:min', 'A:maj', 'D:maj', 'A:maj', 'E:maj', 'E:maj/3', 'A:maj', 'C#:min', 'F#:min', 'A:maj', 'D:maj', 'A:maj', 'E:maj', 'E:maj/3', 'A:maj', 'C#:min', 'F#:min', 'A:maj', 'D:maj', 'A:maj']","['C#:min', 'A:maj', 'C#:min', 'A:maj']","['C#:min', 'A:maj', 'C#:min', 'A:maj']","['C#:min', 'C#:min/b7', 'A:maj7', 'C#:min/b7']",1972,0.625,0.826,125.276,0.716
Bust A Move,Young MC,4/4,"['E:1', 'G:1', 'A:1', 'E:1', 'A:1', 'E:1', 'G:1', 'A:1', 'E:1', 'G:1', 'A:1', 'E:1', 'G:1', 'A:1']","['E:1', 'A:1', 'E:1', 'G:1', 'A:1', 'E:1', 'A:1', 'E:1', 'G:1', 'A:1', 'E:1', 'G:1', 'A:1', 'E:1', 'A:1', 'E:1', 'A:1', 'E:1', 'G:1', 'A:1']","['E:1', 'A:1']",[],"['N', 'N', 'N', 'N']",1989,0.772,0.743,116.972,0.946
